	Unnamed: 0	datasetoi	datasetor	score	method	goldstandardoi	goldstandardor	ofinterest	ofreference	runningtime	moduledef	organismoi	organismnetoi	organismnetor	weight
10	91	ecoli_colombos	ecoli_colombos	0.9173558276370152	dummy	ecoli_regulondb#tc3	ecoli_regulondb#tc3	ecoli_colombos#ecoli_regulondb#tc3	ecoli_colombos#ecoli_regulondb#tc3	0.0012257099151611	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
11	101	ecoli_dream5	ecoli_dream5	1.1140606898463283	dummy	ecoli_regulondb#ap1	ecoli_regulondb#ap1	ecoli_dream5#ecoli_regulondb#ap1	ecoli_dream5#ecoli_regulondb#ap1	0.0009856224060058	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
12	110	ecoli_dream5	ecoli_dream5	0.4312292253653763	dummy	ecoli_regulondb#ap2	ecoli_regulondb#ap2	ecoli_dream5#ecoli_regulondb#ap2	ecoli_dream5#ecoli_regulondb#ap2	0.0013236999511718	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
13	119	ecoli_dream5	ecoli_dream5	1.074609783784828	dummy	ecoli_regulondb#ap3	ecoli_regulondb#ap3	ecoli_dream5#ecoli_regulondb#ap3	ecoli_dream5#ecoli_regulondb#ap3	0.0009856224060058	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
14	128	ecoli_dream5	ecoli_dream5	1.0698258709400292	dummy	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	ecoli_dream5#ecoli_regulondb#mcl1	ecoli_dream5#ecoli_regulondb#mcl1	0.0012550354003906	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
15	137	ecoli_dream5	ecoli_dream5	1.1724176382447622	dummy	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	ecoli_dream5#ecoli_regulondb#mcl2	ecoli_dream5#ecoli_regulondb#mcl2	0.0012550354003906	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
16	146	ecoli_dream5	ecoli_dream5	1.1242803068804468	dummy	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	ecoli_dream5#ecoli_regulondb#mcl3	ecoli_dream5#ecoli_regulondb#mcl3	0.0012550354003906	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
17	155	ecoli_dream5	ecoli_dream5	0.7762595086353866	dummy	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_dream5#ecoli_regulondb#minimal	ecoli_dream5#ecoli_regulondb#minimal	0.0012550354003906	minimal	ecoli	ecoli	ecoli	0.0222222222222222
18	165	ecoli_dream5	ecoli_dream5	0.9579665713333874	dummy	ecoli_regulondb#strict	ecoli_regulondb#strict	ecoli_dream5#ecoli_regulondb#strict	ecoli_dream5#ecoli_regulondb#strict	0.0012550354003906	strict	ecoli	ecoli	ecoli	0.0333333333333333
19	174	ecoli_dream5	ecoli_dream5	1.0624984540681692	dummy	ecoli_regulondb#tc1	ecoli_regulondb#tc1	ecoli_dream5#ecoli_regulondb#tc1	ecoli_dream5#ecoli_regulondb#tc1	0.0012550354003906	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
20	183	ecoli_dream5	ecoli_dream5	0.4630964025644077	dummy	ecoli_regulondb#tc2	ecoli_regulondb#tc2	ecoli_dream5#ecoli_regulondb#tc2	ecoli_dream5#ecoli_regulondb#tc2	0.0012550354003906	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
21	192	ecoli_dream5	ecoli_dream5	0.9881015477817224	dummy	ecoli_regulondb#tc3	ecoli_regulondb#tc3	ecoli_dream5#ecoli_regulondb#tc3	ecoli_dream5#ecoli_regulondb#tc3	0.0012550354003906	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
22	202	ecoli_precise2	ecoli_precise2	0.0	dummy	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_precise2#ecoli_regulondb#minimal	ecoli_precise2#ecoli_regulondb#minimal	0.0015325546264648	minimal	ecoli	ecoli	ecoli	0.0222222222222222
23	233	human_gtex	human_gtex	0.1655332266072524	dummy	regcircuit	regcircuit	human_gtex#regcircuit	human_gtex#regcircuit	0.0018222332000732		human	regcircuit	regcircuit	0.0666666666666666
24	304	human_seek_gpl5175	human_seek_gpl5175	0.2009157633610932	dummy	regcircuit	regcircuit	human_seek_gpl5175#regcircuit	human_seek_gpl5175#regcircuit	0.0016372203826904		human	regcircuit	regcircuit	0.0666666666666666
25	375	human_tcga	human_tcga	0.1838108075395059	dummy	regcircuit	regcircuit	human_tcga#regcircuit	human_tcga#regcircuit	0.0020241737365722		human	regcircuit	regcircuit	0.0666666666666666
26	420	synth_ecoli_regulondb	synth_ecoli_regulondb	1.0345661681085965	dummy	ecoli_regulondb#ap1	ecoli_regulondb#ap1	synth_ecoli_regulondb#ecoli_regulondb#ap1	synth_ecoli_regulondb#ecoli_regulondb#ap1	0.0010416507720947	interconnected	synth	ecoli	ecoli	0.0037037037037037
27	422	synth_ecoli_regulondb	synth_ecoli_regulondb	0.5760090392401283	dummy	ecoli_regulondb#ap2	ecoli_regulondb#ap2	synth_ecoli_regulondb#ecoli_regulondb#ap2	synth_ecoli_regulondb#ecoli_regulondb#ap2	0.0006361007690429	interconnected	synth	ecoli	ecoli	0.0037037037037037
28	424	synth_ecoli_regulondb	synth_ecoli_regulondb	1.088867927035491	dummy	ecoli_regulondb#ap3	ecoli_regulondb#ap3	synth_ecoli_regulondb#ecoli_regulondb#ap3	synth_ecoli_regulondb#ecoli_regulondb#ap3	0.0008800029754638	interconnected	synth	ecoli	ecoli	0.0037037037037037
29	426	synth_ecoli_regulondb	synth_ecoli_regulondb	1.0117866702899776	dummy	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	synth_ecoli_regulondb#ecoli_regulondb#mcl1	synth_ecoli_regulondb#ecoli_regulondb#mcl1	0.0008800029754638	interconnected	synth	ecoli	ecoli	0.0037037037037037
30	428	synth_ecoli_regulondb	synth_ecoli_regulondb	0.9653506120425284	dummy	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	synth_ecoli_regulondb#ecoli_regulondb#mcl2	synth_ecoli_regulondb#ecoli_regulondb#mcl2	0.0010416507720947	interconnected	synth	ecoli	ecoli	0.0037037037037037
31	430	synth_ecoli_regulondb	synth_ecoli_regulondb	1.063395989411542	dummy	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	synth_ecoli_regulondb#ecoli_regulondb#mcl3	synth_ecoli_regulondb#ecoli_regulondb#mcl3	0.0008800029754638	interconnected	synth	ecoli	ecoli	0.0037037037037037
32	432	synth_ecoli_regulondb	synth_ecoli_regulondb	0.7309460494474491	dummy	ecoli_regulondb#minimal	ecoli_regulondb#minimal	synth_ecoli_regulondb#ecoli_regulondb#minimal	synth_ecoli_regulondb#ecoli_regulondb#minimal	0.0010416507720947	minimal	synth	ecoli	ecoli	0.0333333333333333
33	434	synth_ecoli_regulondb	synth_ecoli_regulondb	0.9277716215286924	dummy	ecoli_regulondb#strict	ecoli_regulondb#strict	synth_ecoli_regulondb#ecoli_regulondb#strict	synth_ecoli_regulondb#ecoli_regulondb#strict	0.0010416507720947	strict	synth	ecoli	ecoli	0.0333333333333333
34	436	synth_ecoli_regulondb	synth_ecoli_regulondb	0.976194396038246	dummy	ecoli_regulondb#tc1	ecoli_regulondb#tc1	synth_ecoli_regulondb#ecoli_regulondb#tc1	synth_ecoli_regulondb#ecoli_regulondb#tc1	0.0010416507720947	interconnected	synth	ecoli	ecoli	0.0037037037037037
35	438	synth_ecoli_regulondb	synth_ecoli_regulondb	0.4653623726350523	dummy	ecoli_regulondb#tc2	ecoli_regulondb#tc2	synth_ecoli_regulondb#ecoli_regulondb#tc2	synth_ecoli_regulondb#ecoli_regulondb#tc2	0.0010416507720947	interconnected	synth	ecoli	ecoli	0.0037037037037037
36	440	synth_ecoli_regulondb	synth_ecoli_regulondb	0.9073397335347752	dummy	ecoli_regulondb#tc3	ecoli_regulondb#tc3	synth_ecoli_regulondb#ecoli_regulondb#tc3	synth_ecoli_regulondb#ecoli_regulondb#tc3	0.0010416507720947	interconnected	synth	ecoli	ecoli	0.0037037037037037
37	443	synth_yeast_macisaac	synth_yeast_macisaac	1.1792544859714855	dummy	yeast_macisaac#ap1	yeast_macisaac#ap1	synth_yeast_macisaac#yeast_macisaac#ap1	synth_yeast_macisaac#yeast_macisaac#ap1	0.001077651977539	interconnected	synth	yeast	yeast	0.0037037037037037
38	445	synth_yeast_macisaac	synth_yeast_macisaac	0.8295117586030187	dummy	yeast_macisaac#ap2	yeast_macisaac#ap2	synth_yeast_macisaac#yeast_macisaac#ap2	synth_yeast_macisaac#yeast_macisaac#ap2	0.0008125305175781	interconnected	synth	yeast	yeast	0.0037037037037037
39	447	synth_yeast_macisaac	synth_yeast_macisaac	1.1859413108143892	dummy	yeast_macisaac#ap3	yeast_macisaac#ap3	synth_yeast_macisaac#yeast_macisaac#ap3	synth_yeast_macisaac#yeast_macisaac#ap3	0.001077651977539	interconnected	synth	yeast	yeast	0.0037037037037037
40	449	synth_yeast_macisaac	synth_yeast_macisaac	1.018572959720922	dummy	yeast_macisaac#mcl1	yeast_macisaac#mcl1	synth_yeast_macisaac#yeast_macisaac#mcl1	synth_yeast_macisaac#yeast_macisaac#mcl1	0.001077651977539	interconnected	synth	yeast	yeast	0.0037037037037037
41	451	synth_yeast_macisaac	synth_yeast_macisaac	1.0244381422465307	dummy	yeast_macisaac#mcl2	yeast_macisaac#mcl2	synth_yeast_macisaac#yeast_macisaac#mcl2	synth_yeast_macisaac#yeast_macisaac#mcl2	0.001077651977539	interconnected	synth	yeast	yeast	0.0037037037037037
42	453	synth_yeast_macisaac	synth_yeast_macisaac	1.005292745571005	dummy	yeast_macisaac#mcl3	yeast_macisaac#mcl3	synth_yeast_macisaac#yeast_macisaac#mcl3	synth_yeast_macisaac#yeast_macisaac#mcl3	0.001077651977539	interconnected	synth	yeast	yeast	0.0037037037037037
43	455	synth_yeast_macisaac	synth_yeast_macisaac	0.5388901185995156	dummy	yeast_macisaac#minimal	yeast_macisaac#minimal	synth_yeast_macisaac#yeast_macisaac#minimal	synth_yeast_macisaac#yeast_macisaac#minimal	0.0008125305175781	minimal	synth	yeast	yeast	0.0333333333333333
44	457	synth_yeast_macisaac	synth_yeast_macisaac	0.9040473343816384	dummy	yeast_macisaac#strict	yeast_macisaac#strict	synth_yeast_macisaac#yeast_macisaac#strict	synth_yeast_macisaac#yeast_macisaac#strict	0.0008387565612792	strict	synth	yeast	yeast	0.0333333333333333
45	459	synth_yeast_macisaac	synth_yeast_macisaac	0.8570984424088872	dummy	yeast_macisaac#tc1	yeast_macisaac#tc1	synth_yeast_macisaac#yeast_macisaac#tc1	synth_yeast_macisaac#yeast_macisaac#tc1	0.001077651977539	interconnected	synth	yeast	yeast	0.0037037037037037
46	461	synth_yeast_macisaac	synth_yeast_macisaac	0.4132722204168369	dummy	yeast_macisaac#tc2	yeast_macisaac#tc2	synth_yeast_macisaac#yeast_macisaac#tc2	synth_yeast_macisaac#yeast_macisaac#tc2	0.0008125305175781	interconnected	synth	yeast	yeast	0.0037037037037037
47	463	synth_yeast_macisaac	synth_yeast_macisaac	0.8781056645276083	dummy	yeast_macisaac#tc3	yeast_macisaac#tc3	synth_yeast_macisaac#yeast_macisaac#tc3	synth_yeast_macisaac#yeast_macisaac#tc3	0.001077651977539	interconnected	synth	yeast	yeast	0.0037037037037037
48	469	yeast_dream5	yeast_dream5	1.3050050046695238	dummy	yeast_macisaac#ap1	yeast_macisaac#ap1	yeast_dream5#yeast_macisaac#ap1	yeast_dream5#yeast_macisaac#ap1	0.0012931823730468	interconnected	yeast	yeast	yeast	0.0018518518518518
49	478	yeast_dream5	yeast_dream5	0.9613481317181132	dummy	yeast_macisaac#ap2	yeast_macisaac#ap2	yeast_dream5#yeast_macisaac#ap2	yeast_dream5#yeast_macisaac#ap2	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
50	487	yeast_dream5	yeast_dream5	1.2123892310852014	dummy	yeast_macisaac#ap3	yeast_macisaac#ap3	yeast_dream5#yeast_macisaac#ap3	yeast_dream5#yeast_macisaac#ap3	0.0012931823730468	interconnected	yeast	yeast	yeast	0.0018518518518518
51	496	yeast_dream5	yeast_dream5	1.2234624934031155	dummy	yeast_macisaac#mcl1	yeast_macisaac#mcl1	yeast_dream5#yeast_macisaac#mcl1	yeast_dream5#yeast_macisaac#mcl1	0.0012931823730468	interconnected	yeast	yeast	yeast	0.0018518518518518
52	505	yeast_dream5	yeast_dream5	1.2276296768145023	dummy	yeast_macisaac#mcl2	yeast_macisaac#mcl2	yeast_dream5#yeast_macisaac#mcl2	yeast_dream5#yeast_macisaac#mcl2	0.0011813640594482	interconnected	yeast	yeast	yeast	0.0018518518518518
53	514	yeast_dream5	yeast_dream5	1.2077217517956595	dummy	yeast_macisaac#mcl3	yeast_macisaac#mcl3	yeast_dream5#yeast_macisaac#mcl3	yeast_dream5#yeast_macisaac#mcl3	0.0012931823730468	interconnected	yeast	yeast	yeast	0.0018518518518518
54	524	yeast_dream5	yeast_dream5	0.7134415940418837	dummy	yeast_macisaac#minimal	yeast_macisaac#minimal	yeast_dream5#yeast_macisaac#minimal	yeast_dream5#yeast_macisaac#minimal	0.001793622970581	minimal	yeast	yeast	yeast	0.0166666666666666
55	533	yeast_dream5	yeast_dream5	1.036673869136942	dummy	yeast_macisaac#strict	yeast_macisaac#strict	yeast_dream5#yeast_macisaac#strict	yeast_dream5#yeast_macisaac#strict	0.0011813640594482	strict	yeast	yeast	yeast	0.0166666666666666
56	542	yeast_dream5	yeast_dream5	1.0357973362524144	dummy	yeast_macisaac#tc1	yeast_macisaac#tc1	yeast_dream5#yeast_macisaac#tc1	yeast_dream5#yeast_macisaac#tc1	0.0012931823730468	interconnected	yeast	yeast	yeast	0.0018518518518518
57	551	yeast_dream5	yeast_dream5	0.521621625574983	dummy	yeast_macisaac#tc2	yeast_macisaac#tc2	yeast_dream5#yeast_macisaac#tc2	yeast_dream5#yeast_macisaac#tc2	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
58	560	yeast_dream5	yeast_dream5	1.0617643795675824	dummy	yeast_macisaac#tc3	yeast_macisaac#tc3	yeast_dream5#yeast_macisaac#tc3	yeast_dream5#yeast_macisaac#tc3	0.0012931823730468	interconnected	yeast	yeast	yeast	0.0018518518518518
59	570	yeast_dream5	yeast_dream5	1.0304287758993806	dummy	yeast_sisima#ap1	yeast_sisima#ap1	yeast_dream5#yeast_sisima#ap1	yeast_dream5#yeast_sisima#ap1	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
60	579	yeast_dream5	yeast_dream5	0.0777560529776256	dummy	yeast_sisima#ap2	yeast_sisima#ap2	yeast_dream5#yeast_sisima#ap2	yeast_dream5#yeast_sisima#ap2	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
61	588	yeast_dream5	yeast_dream5	1.1157865117288928	dummy	yeast_sisima#ap3	yeast_sisima#ap3	yeast_dream5#yeast_sisima#ap3	yeast_dream5#yeast_sisima#ap3	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
62	597	yeast_dream5	yeast_dream5	1.0525156401991222	dummy	yeast_sisima#mcl1	yeast_sisima#mcl1	yeast_dream5#yeast_sisima#mcl1	yeast_dream5#yeast_sisima#mcl1	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
63	606	yeast_dream5	yeast_dream5	1.026289400189348	dummy	yeast_sisima#mcl2	yeast_sisima#mcl2	yeast_dream5#yeast_sisima#mcl2	yeast_dream5#yeast_sisima#mcl2	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
64	615	yeast_dream5	yeast_dream5	1.147034350789871	dummy	yeast_sisima#mcl3	yeast_sisima#mcl3	yeast_dream5#yeast_sisima#mcl3	yeast_dream5#yeast_sisima#mcl3	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
65	625	yeast_dream5	yeast_dream5	0.8028717022662543	dummy	yeast_sisima#minimal	yeast_sisima#minimal	yeast_dream5#yeast_sisima#minimal	yeast_dream5#yeast_sisima#minimal	0.001793622970581	minimal	yeast	yeast	yeast	0.0166666666666666
66	634	yeast_dream5	yeast_dream5	1.0689762070433075	dummy	yeast_sisima#strict	yeast_sisima#strict	yeast_dream5#yeast_sisima#strict	yeast_dream5#yeast_sisima#strict	0.001793622970581	strict	yeast	yeast	yeast	0.0166666666666666
67	643	yeast_dream5	yeast_dream5	0.9352726462039525	dummy	yeast_sisima#tc1	yeast_sisima#tc1	yeast_dream5#yeast_sisima#tc1	yeast_dream5#yeast_sisima#tc1	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
68	652	yeast_dream5	yeast_dream5	0.612496463351121	dummy	yeast_sisima#tc2	yeast_sisima#tc2	yeast_dream5#yeast_sisima#tc2	yeast_dream5#yeast_sisima#tc2	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
69	661	yeast_dream5	yeast_dream5	0.9291722033480102	dummy	yeast_sisima#tc3	yeast_sisima#tc3	yeast_dream5#yeast_sisima#tc3	yeast_dream5#yeast_sisima#tc3	0.001793622970581	interconnected	yeast	yeast	yeast	0.0018518518518518
70	671	yeast_gpl2529	yeast_gpl2529	1.2644273632392002	dummy	yeast_macisaac#ap1	yeast_macisaac#ap1	yeast_gpl2529#yeast_macisaac#ap1	yeast_gpl2529#yeast_macisaac#ap1	0.0012502670288085	interconnected	yeast	yeast	yeast	0.0018518518518518
71	680	yeast_gpl2529	yeast_gpl2529	0.949478656697946	dummy	yeast_macisaac#ap2	yeast_macisaac#ap2	yeast_gpl2529#yeast_macisaac#ap2	yeast_gpl2529#yeast_macisaac#ap2	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
72	689	yeast_gpl2529	yeast_gpl2529	1.2862682460908228	dummy	yeast_macisaac#ap3	yeast_macisaac#ap3	yeast_gpl2529#yeast_macisaac#ap3	yeast_gpl2529#yeast_macisaac#ap3	0.0012502670288085	interconnected	yeast	yeast	yeast	0.0018518518518518
73	698	yeast_gpl2529	yeast_gpl2529	1.1980727948627203	dummy	yeast_macisaac#mcl1	yeast_macisaac#mcl1	yeast_gpl2529#yeast_macisaac#mcl1	yeast_gpl2529#yeast_macisaac#mcl1	0.0012502670288085	interconnected	yeast	yeast	yeast	0.0018518518518518
74	707	yeast_gpl2529	yeast_gpl2529	1.179785759011426	dummy	yeast_macisaac#mcl2	yeast_macisaac#mcl2	yeast_gpl2529#yeast_macisaac#mcl2	yeast_gpl2529#yeast_macisaac#mcl2	0.0011680126190185	interconnected	yeast	yeast	yeast	0.0018518518518518
75	716	yeast_gpl2529	yeast_gpl2529	1.1825594120556455	dummy	yeast_macisaac#mcl3	yeast_macisaac#mcl3	yeast_gpl2529#yeast_macisaac#mcl3	yeast_gpl2529#yeast_macisaac#mcl3	0.0012502670288085	interconnected	yeast	yeast	yeast	0.0018518518518518
76	726	yeast_gpl2529	yeast_gpl2529	0.6855479298512026	dummy	yeast_macisaac#minimal	yeast_macisaac#minimal	yeast_gpl2529#yeast_macisaac#minimal	yeast_gpl2529#yeast_macisaac#minimal	0.0011179447174072	minimal	yeast	yeast	yeast	0.0166666666666666
77	735	yeast_gpl2529	yeast_gpl2529	1.059042702441122	dummy	yeast_macisaac#strict	yeast_macisaac#strict	yeast_gpl2529#yeast_macisaac#strict	yeast_gpl2529#yeast_macisaac#strict	0.0011680126190185	strict	yeast	yeast	yeast	0.0166666666666666
78	744	yeast_gpl2529	yeast_gpl2529	0.9565967500411832	dummy	yeast_macisaac#tc1	yeast_macisaac#tc1	yeast_gpl2529#yeast_macisaac#tc1	yeast_gpl2529#yeast_macisaac#tc1	0.0011680126190185	interconnected	yeast	yeast	yeast	0.0018518518518518
79	753	yeast_gpl2529	yeast_gpl2529	0.4986353405316946	dummy	yeast_macisaac#tc2	yeast_macisaac#tc2	yeast_gpl2529#yeast_macisaac#tc2	yeast_gpl2529#yeast_macisaac#tc2	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
80	762	yeast_gpl2529	yeast_gpl2529	0.9805528652893384	dummy	yeast_macisaac#tc3	yeast_macisaac#tc3	yeast_gpl2529#yeast_macisaac#tc3	yeast_gpl2529#yeast_macisaac#tc3	0.0011680126190185	interconnected	yeast	yeast	yeast	0.0018518518518518
81	772	yeast_gpl2529	yeast_gpl2529	1.1410246274787998	dummy	yeast_sisima#ap1	yeast_sisima#ap1	yeast_gpl2529#yeast_sisima#ap1	yeast_gpl2529#yeast_sisima#ap1	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
82	781	yeast_gpl2529	yeast_gpl2529	0.0	dummy	yeast_sisima#ap2	yeast_sisima#ap2	yeast_gpl2529#yeast_sisima#ap2	yeast_gpl2529#yeast_sisima#ap2	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
83	790	yeast_gpl2529	yeast_gpl2529	1.1537137616904525	dummy	yeast_sisima#ap3	yeast_sisima#ap3	yeast_gpl2529#yeast_sisima#ap3	yeast_gpl2529#yeast_sisima#ap3	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
84	799	yeast_gpl2529	yeast_gpl2529	1.0987212824150356	dummy	yeast_sisima#mcl1	yeast_sisima#mcl1	yeast_gpl2529#yeast_sisima#mcl1	yeast_gpl2529#yeast_sisima#mcl1	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
85	808	yeast_gpl2529	yeast_gpl2529	1.0088084242440236	dummy	yeast_sisima#mcl2	yeast_sisima#mcl2	yeast_gpl2529#yeast_sisima#mcl2	yeast_gpl2529#yeast_sisima#mcl2	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
86	817	yeast_gpl2529	yeast_gpl2529	1.1963915925145407	dummy	yeast_sisima#mcl3	yeast_sisima#mcl3	yeast_gpl2529#yeast_sisima#mcl3	yeast_gpl2529#yeast_sisima#mcl3	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
87	827	yeast_gpl2529	yeast_gpl2529	0.7958513711608672	dummy	yeast_sisima#minimal	yeast_sisima#minimal	yeast_gpl2529#yeast_sisima#minimal	yeast_gpl2529#yeast_sisima#minimal	0.0011179447174072	minimal	yeast	yeast	yeast	0.0166666666666666
88	836	yeast_gpl2529	yeast_gpl2529	1.002385359822611	dummy	yeast_sisima#strict	yeast_sisima#strict	yeast_gpl2529#yeast_sisima#strict	yeast_gpl2529#yeast_sisima#strict	0.0011179447174072	strict	yeast	yeast	yeast	0.0166666666666666
89	845	yeast_gpl2529	yeast_gpl2529	0.8859367957936257	dummy	yeast_sisima#tc1	yeast_sisima#tc1	yeast_gpl2529#yeast_sisima#tc1	yeast_gpl2529#yeast_sisima#tc1	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
90	854	yeast_gpl2529	yeast_gpl2529	0.6039388448075391	dummy	yeast_sisima#tc2	yeast_sisima#tc2	yeast_gpl2529#yeast_sisima#tc2	yeast_gpl2529#yeast_sisima#tc2	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
91	863	yeast_gpl2529	yeast_gpl2529	0.8801573039429615	dummy	yeast_sisima#tc3	yeast_sisima#tc3	yeast_gpl2529#yeast_sisima#tc3	yeast_gpl2529#yeast_sisima#tc3	0.0011179447174072	interconnected	yeast	yeast	yeast	0.0018518518518518
92	864	ecoli_colombos	ecoli_colombos	5.440414439287516	agglom	ecoli_regulondb#ap1	ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	2.2886264324188232	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
93	873	ecoli_colombos	ecoli_colombos	5.440276005163594	agglom	ecoli_regulondb#ap2	ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	2.08420467376709	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
94	882	ecoli_colombos	ecoli_colombos	5.52973372609332	agglom	ecoli_regulondb#ap3	ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	2.2886264324188232	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
95	891	ecoli_colombos	ecoli_colombos	6.409025889099548	agglom	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	2.08420467376709	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
