	datasetoi	datasetor	score	method	goldstandardoi	goldstandardor	ofinterest	ofreference	runningtime	moduledef	organismoi	organismnetoi	organismnetor	weight
42	ecoli_colombos	yeast_dream5	0.9953028407670076	dummy	ecoli_regulondb#mcl2	yeast_sisima#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	yeast_dream5#yeast_sisima#mcl2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
43	ecoli_colombos	yeast_gpl2529	1.213130647297615	dummy	ecoli_regulondb#mcl2	yeast_macisaac#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	yeast_gpl2529#yeast_macisaac#mcl2	0.002007007598876953	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
44	ecoli_colombos	yeast_gpl2529	0.9953028407670076	dummy	ecoli_regulondb#mcl2	yeast_sisima#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	yeast_gpl2529#yeast_sisima#mcl2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
47	ecoli_colombos	human_gtex	1.1170149461497911	dummy	ecoli_regulondb#mcl3	regcircuit	ecoli_colombos#ecoli_regulondb#mcl3	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
48	ecoli_colombos	human_seek_gpl5175	1.1170149461497911	dummy	ecoli_regulondb#mcl3	regcircuit	ecoli_colombos#ecoli_regulondb#mcl3	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
49	ecoli_colombos	human_tcga	1.1170149461497911	dummy	ecoli_regulondb#mcl3	regcircuit	ecoli_colombos#ecoli_regulondb#mcl3	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
50	ecoli_colombos	yeast_dream5	1.1170149461497911	dummy	ecoli_regulondb#mcl3	yeast_macisaac#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	yeast_dream5#yeast_macisaac#mcl3	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
51	ecoli_colombos	yeast_dream5	0.9719734087655704	dummy	ecoli_regulondb#mcl3	yeast_sisima#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	yeast_dream5#yeast_sisima#mcl3	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
52	ecoli_colombos	yeast_gpl2529	1.1170149461497911	dummy	ecoli_regulondb#mcl3	yeast_macisaac#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	yeast_gpl2529#yeast_macisaac#mcl3	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
53	ecoli_colombos	yeast_gpl2529	0.9719734087655704	dummy	ecoli_regulondb#mcl3	yeast_sisima#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	yeast_gpl2529#yeast_sisima#mcl3	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
57	ecoli_colombos	human_gtex	0.7400609789774283	dummy	ecoli_regulondb#minimal	regcircuit	ecoli_colombos#ecoli_regulondb#minimal	human_gtex#regcircuit	0.0018689632415771484	minimal	ecoli	ecoli	regcircuit	0.0026455026455026454
58	ecoli_colombos	human_seek_gpl5175	0.7400609789774283	dummy	ecoli_regulondb#minimal	regcircuit	ecoli_colombos#ecoli_regulondb#minimal	human_seek_gpl5175#regcircuit	0.0018689632415771484	minimal	ecoli	ecoli	regcircuit	0.0026455026455026454
59	ecoli_colombos	human_tcga	0.7400609789774283	dummy	ecoli_regulondb#minimal	regcircuit	ecoli_colombos#ecoli_regulondb#minimal	human_tcga#regcircuit	0.0018689632415771484	minimal	ecoli	ecoli	regcircuit	0.0026455026455026454
60	ecoli_colombos	yeast_dream5	0.6991617526655034	dummy	ecoli_regulondb#minimal	yeast_macisaac#minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_dream5#yeast_macisaac#minimal	0.01888036727905273	minimal	ecoli	ecoli	yeast	0.0026455026455026454
61	ecoli_colombos	yeast_dream5	0.6991617526655034	dummy	ecoli_regulondb#minimal	yeast_sisima#minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_dream5#yeast_sisima#minimal	0.01888036727905273	minimal	ecoli	ecoli	yeast	0.0026455026455026454
62	ecoli_colombos	yeast_gpl2529	0.6991617526655034	dummy	ecoli_regulondb#minimal	yeast_macisaac#minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_gpl2529#yeast_macisaac#minimal	0.01888036727905273	minimal	ecoli	ecoli	yeast	0.0026455026455026454
63	ecoli_colombos	yeast_gpl2529	0.6991617526655034	dummy	ecoli_regulondb#minimal	yeast_sisima#minimal	ecoli_colombos#ecoli_regulondb#minimal	yeast_gpl2529#yeast_sisima#minimal	0.01888036727905273	minimal	ecoli	ecoli	yeast	0.0026455026455026454
66	ecoli_colombos	human_gtex	0.7364477175438109	dummy	ecoli_regulondb#strict	regcircuit	ecoli_colombos#ecoli_regulondb#strict	human_gtex#regcircuit	0.0018689632415771484	strict	ecoli	ecoli	regcircuit	0.003968253968253968
67	ecoli_colombos	human_seek_gpl5175	0.7364477175438109	dummy	ecoli_regulondb#strict	regcircuit	ecoli_colombos#ecoli_regulondb#strict	human_seek_gpl5175#regcircuit	0.0018689632415771484	strict	ecoli	ecoli	regcircuit	0.003968253968253968
68	ecoli_colombos	human_tcga	0.7364477175438109	dummy	ecoli_regulondb#strict	regcircuit	ecoli_colombos#ecoli_regulondb#strict	human_tcga#regcircuit	0.0018689632415771484	strict	ecoli	ecoli	regcircuit	0.003968253968253968
69	ecoli_colombos	yeast_dream5	1.0021524054191924	dummy	ecoli_regulondb#strict	yeast_macisaac#strict	ecoli_colombos#ecoli_regulondb#strict	yeast_dream5#yeast_macisaac#strict	0.002007007598876953	strict	ecoli	ecoli	yeast	0.003968253968253968
70	ecoli_colombos	yeast_dream5	0.8690541962056659	dummy	ecoli_regulondb#strict	yeast_sisima#strict	ecoli_colombos#ecoli_regulondb#strict	yeast_dream5#yeast_sisima#strict	0.01888036727905273	strict	ecoli	ecoli	yeast	0.003968253968253968
71	ecoli_colombos	yeast_gpl2529	0.8690541962056659	dummy	ecoli_regulondb#strict	yeast_macisaac#strict	ecoli_colombos#ecoli_regulondb#strict	yeast_gpl2529#yeast_macisaac#strict	0.01888036727905273	strict	ecoli	ecoli	yeast	0.003968253968253968
72	ecoli_colombos	yeast_gpl2529	0.8690541962056659	dummy	ecoli_regulondb#strict	yeast_sisima#strict	ecoli_colombos#ecoli_regulondb#strict	yeast_gpl2529#yeast_sisima#strict	0.01888036727905273	strict	ecoli	ecoli	yeast	0.003968253968253968
75	ecoli_colombos	human_gtex	0.941795382023788	dummy	ecoli_regulondb#tc1	regcircuit	ecoli_colombos#ecoli_regulondb#tc1	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
76	ecoli_colombos	human_seek_gpl5175	0.941795382023788	dummy	ecoli_regulondb#tc1	regcircuit	ecoli_colombos#ecoli_regulondb#tc1	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
77	ecoli_colombos	human_tcga	0.941795382023788	dummy	ecoli_regulondb#tc1	regcircuit	ecoli_colombos#ecoli_regulondb#tc1	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
78	ecoli_colombos	yeast_dream5	1.0677938834529603	dummy	ecoli_regulondb#tc1	yeast_macisaac#tc1	ecoli_colombos#ecoli_regulondb#tc1	yeast_dream5#yeast_macisaac#tc1	0.002007007598876953	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
79	ecoli_colombos	yeast_dream5	0.9003304697613639	dummy	ecoli_regulondb#tc1	yeast_sisima#tc1	ecoli_colombos#ecoli_regulondb#tc1	yeast_dream5#yeast_sisima#tc1	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
80	ecoli_colombos	yeast_gpl2529	0.941795382023788	dummy	ecoli_regulondb#tc1	yeast_macisaac#tc1	ecoli_colombos#ecoli_regulondb#tc1	yeast_gpl2529#yeast_macisaac#tc1	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
81	ecoli_colombos	yeast_gpl2529	0.9003304697613639	dummy	ecoli_regulondb#tc1	yeast_sisima#tc1	ecoli_colombos#ecoli_regulondb#tc1	yeast_gpl2529#yeast_sisima#tc1	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
84	ecoli_colombos	human_gtex	0.434797946256699	dummy	ecoli_regulondb#tc2	regcircuit	ecoli_colombos#ecoli_regulondb#tc2	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
85	ecoli_colombos	human_seek_gpl5175	0.434797946256699	dummy	ecoli_regulondb#tc2	regcircuit	ecoli_colombos#ecoli_regulondb#tc2	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
86	ecoli_colombos	human_tcga	0.434797946256699	dummy	ecoli_regulondb#tc2	regcircuit	ecoli_colombos#ecoli_regulondb#tc2	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
87	ecoli_colombos	yeast_dream5	0.4654214593287384	dummy	ecoli_regulondb#tc2	yeast_macisaac#tc2	ecoli_colombos#ecoli_regulondb#tc2	yeast_dream5#yeast_macisaac#tc2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
88	ecoli_colombos	yeast_dream5	0.4654214593287384	dummy	ecoli_regulondb#tc2	yeast_sisima#tc2	ecoli_colombos#ecoli_regulondb#tc2	yeast_dream5#yeast_sisima#tc2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
89	ecoli_colombos	yeast_gpl2529	0.4654214593287384	dummy	ecoli_regulondb#tc2	yeast_macisaac#tc2	ecoli_colombos#ecoli_regulondb#tc2	yeast_gpl2529#yeast_macisaac#tc2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
90	ecoli_colombos	yeast_gpl2529	0.4654214593287384	dummy	ecoli_regulondb#tc2	yeast_sisima#tc2	ecoli_colombos#ecoli_regulondb#tc2	yeast_gpl2529#yeast_sisima#tc2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
93	ecoli_colombos	human_gtex	0.8740255364544554	dummy	ecoli_regulondb#tc3	regcircuit	ecoli_colombos#ecoli_regulondb#tc3	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
94	ecoli_colombos	human_seek_gpl5175	0.8740255364544554	dummy	ecoli_regulondb#tc3	regcircuit	ecoli_colombos#ecoli_regulondb#tc3	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
95	ecoli_colombos	human_tcga	0.8740255364544554	dummy	ecoli_regulondb#tc3	regcircuit	ecoli_colombos#ecoli_regulondb#tc3	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
96	ecoli_colombos	yeast_dream5	0.9926224583309576	dummy	ecoli_regulondb#tc3	yeast_macisaac#tc3	ecoli_colombos#ecoli_regulondb#tc3	yeast_dream5#yeast_macisaac#tc3	0.002007007598876953	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
97	ecoli_colombos	yeast_dream5	0.8386076947225442	dummy	ecoli_regulondb#tc3	yeast_sisima#tc3	ecoli_colombos#ecoli_regulondb#tc3	yeast_dream5#yeast_sisima#tc3	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
98	ecoli_colombos	yeast_gpl2529	0.8740255364544554	dummy	ecoli_regulondb#tc3	yeast_macisaac#tc3	ecoli_colombos#ecoli_regulondb#tc3	yeast_gpl2529#yeast_macisaac#tc3	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
99	ecoli_colombos	yeast_gpl2529	0.8386076947225442	dummy	ecoli_regulondb#tc3	yeast_sisima#tc3	ecoli_colombos#ecoli_regulondb#tc3	yeast_gpl2529#yeast_sisima#tc3	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
102	ecoli_dream5	human_gtex	1.0580720145617073	dummy	ecoli_regulondb#ap1	regcircuit	ecoli_dream5#ecoli_regulondb#ap1	human_gtex#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
103	ecoli_dream5	human_seek_gpl5175	1.0580720145617073	dummy	ecoli_regulondb#ap1	regcircuit	ecoli_dream5#ecoli_regulondb#ap1	human_seek_gpl5175#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
104	ecoli_dream5	human_tcga	1.0580720145617073	dummy	ecoli_regulondb#ap1	regcircuit	ecoli_dream5#ecoli_regulondb#ap1	human_tcga#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
105	ecoli_dream5	yeast_dream5	1.0580720145617073	dummy	ecoli_regulondb#ap1	yeast_macisaac#ap1	ecoli_dream5#ecoli_regulondb#ap1	yeast_dream5#yeast_macisaac#ap1	0.002376079559326172	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
106	ecoli_dream5	yeast_dream5	0.8464778232039087	dummy	ecoli_regulondb#ap1	yeast_sisima#ap1	ecoli_dream5#ecoli_regulondb#ap1	yeast_dream5#yeast_sisima#ap1	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
107	ecoli_dream5	yeast_gpl2529	1.0580720145617073	dummy	ecoli_regulondb#ap1	yeast_macisaac#ap1	ecoli_dream5#ecoli_regulondb#ap1	yeast_gpl2529#yeast_macisaac#ap1	0.002376079559326172	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
108	ecoli_dream5	yeast_gpl2529	0.8464778232039087	dummy	ecoli_regulondb#ap1	yeast_sisima#ap1	ecoli_dream5#ecoli_regulondb#ap1	yeast_gpl2529#yeast_sisima#ap1	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
111	ecoli_dream5	human_gtex	0.0	dummy	ecoli_regulondb#ap2	regcircuit	ecoli_dream5#ecoli_regulondb#ap2	human_gtex#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
112	ecoli_dream5	human_seek_gpl5175	0.0	dummy	ecoli_regulondb#ap2	regcircuit	ecoli_dream5#ecoli_regulondb#ap2	human_seek_gpl5175#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
113	ecoli_dream5	human_tcga	0.0	dummy	ecoli_regulondb#ap2	regcircuit	ecoli_dream5#ecoli_regulondb#ap2	human_tcga#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
114	ecoli_dream5	yeast_dream5	0.3862927865804365	dummy	ecoli_regulondb#ap2	yeast_macisaac#ap2	ecoli_dream5#ecoli_regulondb#ap2	yeast_dream5#yeast_macisaac#ap2	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
115	ecoli_dream5	yeast_dream5	0.3862927865804365	dummy	ecoli_regulondb#ap2	yeast_sisima#ap2	ecoli_dream5#ecoli_regulondb#ap2	yeast_dream5#yeast_sisima#ap2	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
116	ecoli_dream5	yeast_gpl2529	0.3862927865804365	dummy	ecoli_regulondb#ap2	yeast_macisaac#ap2	ecoli_dream5#ecoli_regulondb#ap2	yeast_gpl2529#yeast_macisaac#ap2	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
117	ecoli_dream5	yeast_gpl2529	0.3862927865804365	dummy	ecoli_regulondb#ap2	yeast_sisima#ap2	ecoli_dream5#ecoli_regulondb#ap2	yeast_gpl2529#yeast_sisima#ap2	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
120	ecoli_dream5	human_gtex	1.0475545517157034	dummy	ecoli_regulondb#ap3	regcircuit	ecoli_dream5#ecoli_regulondb#ap3	human_gtex#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
121	ecoli_dream5	human_seek_gpl5175	1.0475545517157034	dummy	ecoli_regulondb#ap3	regcircuit	ecoli_dream5#ecoli_regulondb#ap3	human_seek_gpl5175#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
122	ecoli_dream5	human_tcga	1.0475545517157034	dummy	ecoli_regulondb#ap3	regcircuit	ecoli_dream5#ecoli_regulondb#ap3	human_tcga#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
123	ecoli_dream5	yeast_dream5	1.0475545517157034	dummy	ecoli_regulondb#ap3	yeast_macisaac#ap3	ecoli_dream5#ecoli_regulondb#ap3	yeast_dream5#yeast_macisaac#ap3	0.002376079559326172	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
124	ecoli_dream5	yeast_dream5	0.8558462192269402	dummy	ecoli_regulondb#ap3	yeast_sisima#ap3	ecoli_dream5#ecoli_regulondb#ap3	yeast_dream5#yeast_sisima#ap3	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
125	ecoli_dream5	yeast_gpl2529	1.0475545517157034	dummy	ecoli_regulondb#ap3	yeast_macisaac#ap3	ecoli_dream5#ecoli_regulondb#ap3	yeast_gpl2529#yeast_macisaac#ap3	0.002376079559326172	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
126	ecoli_dream5	yeast_gpl2529	0.8558462192269402	dummy	ecoli_regulondb#ap3	yeast_sisima#ap3	ecoli_dream5#ecoli_regulondb#ap3	yeast_gpl2529#yeast_sisima#ap3	0.021156787872314453	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
129	ecoli_dream5	human_gtex	0.9571259049815406	dummy	ecoli_regulondb#mcl1	regcircuit	ecoli_dream5#ecoli_regulondb#mcl1	human_gtex#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
130	ecoli_dream5	human_seek_gpl5175	0.9571259049815406	dummy	ecoli_regulondb#mcl1	regcircuit	ecoli_dream5#ecoli_regulondb#mcl1	human_seek_gpl5175#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
131	ecoli_dream5	human_tcga	0.9571259049815406	dummy	ecoli_regulondb#mcl1	regcircuit	ecoli_dream5#ecoli_regulondb#mcl1	human_tcga#regcircuit	0.002376079559326172	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
