	datasetoi	datasetor	score	method	goldstandardoi	goldstandardor	ofinterest	ofreference	runningtime	moduledef	organismoi	organismnetoi	organismnetor	weight
103	ecoli_dream5	ecoli_dream5	0.10949608009035593	spectral_biclust	ecoli_regulondb#ap1	ecoli_regulondb#ap1	ecoli_dream5#ecoli_regulondb#ap1	ecoli_dream5#ecoli_regulondb#ap1	3734.616319179535	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
112	ecoli_dream5	ecoli_dream5	0.4065832519326327	spectral_biclust	ecoli_regulondb#ap2	ecoli_regulondb#ap2	ecoli_dream5#ecoli_regulondb#ap2	ecoli_dream5#ecoli_regulondb#ap2	1206.4348492622375	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
121	ecoli_dream5	ecoli_dream5	0.0997763793820265	spectral_biclust	ecoli_regulondb#ap3	ecoli_regulondb#ap3	ecoli_dream5#ecoli_regulondb#ap3	ecoli_dream5#ecoli_regulondb#ap3	3734.616319179535	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
130	ecoli_dream5	ecoli_dream5	0.1016854564415151	spectral_biclust	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	ecoli_dream5#ecoli_regulondb#mcl1	ecoli_dream5#ecoli_regulondb#mcl1	2089.3904221057887	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
139	ecoli_dream5	ecoli_dream5	0.14410352300021356	spectral_biclust	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	ecoli_dream5#ecoli_regulondb#mcl2	ecoli_dream5#ecoli_regulondb#mcl2	2089.3904221057887	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
148	ecoli_dream5	ecoli_dream5	0.1016854564415151	spectral_biclust	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	ecoli_dream5#ecoli_regulondb#mcl3	ecoli_dream5#ecoli_regulondb#mcl3	2089.3904221057887	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
157	ecoli_dream5	ecoli_dream5	0.10565959664475497	spectral_biclust	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_dream5#ecoli_regulondb#minimal	ecoli_dream5#ecoli_regulondb#minimal	3734.616319179535	minimal	ecoli	ecoli	ecoli	0.018518518518518517
168	ecoli_dream5	ecoli_dream5	0.3072377341609957	spectral_biclust	ecoli_regulondb#strict	ecoli_regulondb#strict	ecoli_dream5#ecoli_regulondb#strict	ecoli_dream5#ecoli_regulondb#strict	3734.616319179535	strict	ecoli	ecoli	ecoli	0.027777777777777776
178	ecoli_dream5	ecoli_dream5	0.09747587560619396	spectral_biclust	ecoli_regulondb#tc1	ecoli_regulondb#tc1	ecoli_dream5#ecoli_regulondb#tc1	ecoli_dream5#ecoli_regulondb#tc1	2089.3904221057887	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
187	ecoli_dream5	ecoli_dream5	0.09586507375017284	spectral_biclust	ecoli_regulondb#tc2	ecoli_regulondb#tc2	ecoli_dream5#ecoli_regulondb#tc2	ecoli_dream5#ecoli_regulondb#tc2	3734.616319179535	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
196	ecoli_dream5	ecoli_dream5	0.09747587560619396	spectral_biclust	ecoli_regulondb#tc3	ecoli_regulondb#tc3	ecoli_dream5#ecoli_regulondb#tc3	ecoli_dream5#ecoli_regulondb#tc3	2089.3904221057887	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
206	ecoli_precise2	ecoli_precise2	0.06602020241720928	spectral_biclust	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_precise2#ecoli_regulondb#minimal	ecoli_precise2#ecoli_regulondb#minimal	295.45052146911615	minimal	ecoli	ecoli	ecoli	0.018518518518518517
238	human_gtex	human_gtex	2.858242875787945	spectral_biclust	regcircuit	regcircuit	human_gtex#regcircuit	human_gtex#regcircuit	813.8055510520935		human	regcircuit	regcircuit	0.05555555555555555
312	human_seek_gpl5175	human_seek_gpl5175	5.579622493871871	spectral_biclust	regcircuit	regcircuit	human_seek_gpl5175#regcircuit	human_seek_gpl5175#regcircuit	60.047210454940796		human	regcircuit	regcircuit	0.05555555555555555
386	human_tcga	human_tcga	8.048926816372127	spectral_biclust	regcircuit	regcircuit	human_tcga#regcircuit	human_tcga#regcircuit	10225.266592979433		human	regcircuit	regcircuit	0.05555555555555555
440	progesterone	progesterone	0.08937971306170663	spectral_biclust	progesterone#minimal	progesterone#minimal	progesterone#progesterone#minimal	progesterone#progesterone#minimal	2.3726160526275635	minimal	rat	progesterone#minimal	progesterone#minimal	0.05555555555555555
450	progesterone	progesterone	0.05063868037314493	spectral_biclust	progesterone#strict	progesterone#strict	progesterone#progesterone#strict	progesterone#progesterone#strict	2.810281276702881	strict	rat	progesterone#strict	progesterone#strict	0.05555555555555555
458	progesterone	progesterone	0.3131410518451442	spectral_biclust	progesterone#wcgna_minimal	progesterone#wcgna_minimal	progesterone#progesterone#wcgna_minimal	progesterone#progesterone#wcgna_minimal	2.607876777648926	wcgna_minimal	rat	progesterone#wcgna	progesterone#wcgna	0.05555555555555555
459	synth_ecoli_regulondb	synth_ecoli_regulondb	0.21763464787739809	spectral_biclust	ecoli_regulondb#ap1	ecoli_regulondb#ap1	synth_ecoli_regulondb#ecoli_regulondb#ap1	synth_ecoli_regulondb#ecoli_regulondb#ap1	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
461	synth_ecoli_regulondb	synth_ecoli_regulondb	0.14434892919179482	spectral_biclust	ecoli_regulondb#ap2	ecoli_regulondb#ap2	synth_ecoli_regulondb#ecoli_regulondb#ap2	synth_ecoli_regulondb#ecoli_regulondb#ap2	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
463	synth_ecoli_regulondb	synth_ecoli_regulondb	0.22809770980777944	spectral_biclust	ecoli_regulondb#ap3	ecoli_regulondb#ap3	synth_ecoli_regulondb#ecoli_regulondb#ap3	synth_ecoli_regulondb#ecoli_regulondb#ap3	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
465	synth_ecoli_regulondb	synth_ecoli_regulondb	0.3746821428536353	spectral_biclust	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	synth_ecoli_regulondb#ecoli_regulondb#mcl1	synth_ecoli_regulondb#ecoli_regulondb#mcl1	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
467	synth_ecoli_regulondb	synth_ecoli_regulondb	0.4612925775467404	spectral_biclust	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	synth_ecoli_regulondb#ecoli_regulondb#mcl2	synth_ecoli_regulondb#ecoli_regulondb#mcl2	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
469	synth_ecoli_regulondb	synth_ecoli_regulondb	0.3746821428536353	spectral_biclust	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	synth_ecoli_regulondb#ecoli_regulondb#mcl3	synth_ecoli_regulondb#ecoli_regulondb#mcl3	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
471	synth_ecoli_regulondb	synth_ecoli_regulondb	0.32211588119924656	spectral_biclust	ecoli_regulondb#minimal	ecoli_regulondb#minimal	synth_ecoli_regulondb#ecoli_regulondb#minimal	synth_ecoli_regulondb#ecoli_regulondb#minimal	1515.8512470722198	minimal	synth	ecoli	ecoli	0.027777777777777776
473	synth_ecoli_regulondb	synth_ecoli_regulondb	0.5227089730232379	spectral_biclust	ecoli_regulondb#strict	ecoli_regulondb#strict	synth_ecoli_regulondb#ecoli_regulondb#strict	synth_ecoli_regulondb#ecoli_regulondb#strict	1515.8512470722198	strict	synth	ecoli	ecoli	0.027777777777777776
475	synth_ecoli_regulondb	synth_ecoli_regulondb	0.3901639486349275	spectral_biclust	ecoli_regulondb#tc1	ecoli_regulondb#tc1	synth_ecoli_regulondb#ecoli_regulondb#tc1	synth_ecoli_regulondb#ecoli_regulondb#tc1	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
477	synth_ecoli_regulondb	synth_ecoli_regulondb	0.2974718687383189	spectral_biclust	ecoli_regulondb#tc2	ecoli_regulondb#tc2	synth_ecoli_regulondb#ecoli_regulondb#tc2	synth_ecoli_regulondb#ecoli_regulondb#tc2	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
479	synth_ecoli_regulondb	synth_ecoli_regulondb	0.3901639486349275	spectral_biclust	ecoli_regulondb#tc3	ecoli_regulondb#tc3	synth_ecoli_regulondb#ecoli_regulondb#tc3	synth_ecoli_regulondb#ecoli_regulondb#tc3	1515.8512470722198	interconnected	synth	ecoli	ecoli	0.0030864197530864196
482	synth_yeast_macisaac	synth_yeast_macisaac	0.060845418392545515	spectral_biclust	yeast_macisaac#ap1	yeast_macisaac#ap1	synth_yeast_macisaac#yeast_macisaac#ap1	synth_yeast_macisaac#yeast_macisaac#ap1	1457.834545135498	interconnected	synth	yeast	yeast	0.0030864197530864196
484	synth_yeast_macisaac	synth_yeast_macisaac	0.12065506059169558	spectral_biclust	yeast_macisaac#ap2	yeast_macisaac#ap2	synth_yeast_macisaac#yeast_macisaac#ap2	synth_yeast_macisaac#yeast_macisaac#ap2	1821.6925628185272	interconnected	synth	yeast	yeast	0.0030864197530864196
486	synth_yeast_macisaac	synth_yeast_macisaac	0.05915678990280319	spectral_biclust	yeast_macisaac#ap3	yeast_macisaac#ap3	synth_yeast_macisaac#yeast_macisaac#ap3	synth_yeast_macisaac#yeast_macisaac#ap3	910.8693513870239	interconnected	synth	yeast	yeast	0.0030864197530864196
488	synth_yeast_macisaac	synth_yeast_macisaac	0.25065608249402765	spectral_biclust	yeast_macisaac#mcl1	yeast_macisaac#mcl1	synth_yeast_macisaac#yeast_macisaac#mcl1	synth_yeast_macisaac#yeast_macisaac#mcl1	582.1278481483461	interconnected	synth	yeast	yeast	0.0030864197530864196
490	synth_yeast_macisaac	synth_yeast_macisaac	0.3267498712545118	spectral_biclust	yeast_macisaac#mcl2	yeast_macisaac#mcl2	synth_yeast_macisaac#yeast_macisaac#mcl2	synth_yeast_macisaac#yeast_macisaac#mcl2	487.2205107212066	interconnected	synth	yeast	yeast	0.0030864197530864196
492	synth_yeast_macisaac	synth_yeast_macisaac	0.25065608249402765	spectral_biclust	yeast_macisaac#mcl3	yeast_macisaac#mcl3	synth_yeast_macisaac#yeast_macisaac#mcl3	synth_yeast_macisaac#yeast_macisaac#mcl3	582.1278481483461	interconnected	synth	yeast	yeast	0.0030864197530864196
494	synth_yeast_macisaac	synth_yeast_macisaac	0.2487117750367761	spectral_biclust	yeast_macisaac#minimal	yeast_macisaac#minimal	synth_yeast_macisaac#yeast_macisaac#minimal	synth_yeast_macisaac#yeast_macisaac#minimal	582.1278481483461	minimal	synth	yeast	yeast	0.027777777777777776
496	synth_yeast_macisaac	synth_yeast_macisaac	0.5948571085712943	spectral_biclust	yeast_macisaac#strict	yeast_macisaac#strict	synth_yeast_macisaac#yeast_macisaac#strict	synth_yeast_macisaac#yeast_macisaac#strict	1821.6925628185272	strict	synth	yeast	yeast	0.027777777777777776
498	synth_yeast_macisaac	synth_yeast_macisaac	0.30515886616812604	spectral_biclust	yeast_macisaac#tc1	yeast_macisaac#tc1	synth_yeast_macisaac#yeast_macisaac#tc1	synth_yeast_macisaac#yeast_macisaac#tc1	582.1278481483461	interconnected	synth	yeast	yeast	0.0030864197530864196
500	synth_yeast_macisaac	synth_yeast_macisaac	0.25593243929948195	spectral_biclust	yeast_macisaac#tc2	yeast_macisaac#tc2	synth_yeast_macisaac#yeast_macisaac#tc2	synth_yeast_macisaac#yeast_macisaac#tc2	582.1278481483461	interconnected	synth	yeast	yeast	0.0030864197530864196
502	synth_yeast_macisaac	synth_yeast_macisaac	0.30515886616812604	spectral_biclust	yeast_macisaac#tc3	yeast_macisaac#tc3	synth_yeast_macisaac#yeast_macisaac#tc3	synth_yeast_macisaac#yeast_macisaac#tc3	582.1278481483461	interconnected	synth	yeast	yeast	0.0030864197530864196
508	yeast_dream5	yeast_dream5	0.02594289883911295	spectral_biclust	yeast_macisaac#ap1	yeast_macisaac#ap1	yeast_dream5#yeast_macisaac#ap1	yeast_dream5#yeast_macisaac#ap1	2606.6833517551418	interconnected	yeast	yeast	yeast	0.0015432098765432098
517	yeast_dream5	yeast_dream5	0.06942596857112449	spectral_biclust	yeast_macisaac#ap2	yeast_macisaac#ap2	yeast_dream5#yeast_macisaac#ap2	yeast_dream5#yeast_macisaac#ap2	738.1008548736572	interconnected	yeast	yeast	yeast	0.0015432098765432098
526	yeast_dream5	yeast_dream5	0.024929211897570074	spectral_biclust	yeast_macisaac#ap3	yeast_macisaac#ap3	yeast_dream5#yeast_macisaac#ap3	yeast_dream5#yeast_macisaac#ap3	2606.6833517551418	interconnected	yeast	yeast	yeast	0.0015432098765432098
535	yeast_dream5	yeast_dream5	0.03457306976978216	spectral_biclust	yeast_macisaac#mcl1	yeast_macisaac#mcl1	yeast_dream5#yeast_macisaac#mcl1	yeast_dream5#yeast_macisaac#mcl1	732.1113522052765	interconnected	yeast	yeast	yeast	0.0015432098765432098
544	yeast_dream5	yeast_dream5	0.04028336273912162	spectral_biclust	yeast_macisaac#mcl2	yeast_macisaac#mcl2	yeast_dream5#yeast_macisaac#mcl2	yeast_dream5#yeast_macisaac#mcl2	732.1113522052765	interconnected	yeast	yeast	yeast	0.0015432098765432098
553	yeast_dream5	yeast_dream5	0.03457306976978216	spectral_biclust	yeast_macisaac#mcl3	yeast_macisaac#mcl3	yeast_dream5#yeast_macisaac#mcl3	yeast_dream5#yeast_macisaac#mcl3	732.1113522052765	interconnected	yeast	yeast	yeast	0.0015432098765432098
564	yeast_dream5	yeast_dream5	0.03864138869966769	spectral_biclust	yeast_macisaac#minimal	yeast_macisaac#minimal	yeast_dream5#yeast_macisaac#minimal	yeast_dream5#yeast_macisaac#minimal	1654.2882571220398	minimal	yeast	yeast	yeast	0.013888888888888888
574	yeast_dream5	yeast_dream5	0.051060983474020064	spectral_biclust	yeast_macisaac#strict	yeast_macisaac#strict	yeast_dream5#yeast_macisaac#strict	yeast_dream5#yeast_macisaac#strict	460.6717839241028	strict	yeast	yeast	yeast	0.013888888888888888
583	yeast_dream5	yeast_dream5	0.03241433413535752	spectral_biclust	yeast_macisaac#tc1	yeast_macisaac#tc1	yeast_dream5#yeast_macisaac#tc1	yeast_dream5#yeast_macisaac#tc1	2606.6833517551418	interconnected	yeast	yeast	yeast	0.0015432098765432098
592	yeast_dream5	yeast_dream5	0.034847645451259616	spectral_biclust	yeast_macisaac#tc2	yeast_macisaac#tc2	yeast_dream5#yeast_macisaac#tc2	yeast_dream5#yeast_macisaac#tc2	329.93154096603394	interconnected	yeast	yeast	yeast	0.0015432098765432098
601	yeast_dream5	yeast_dream5	0.03241433413535752	spectral_biclust	yeast_macisaac#tc3	yeast_macisaac#tc3	yeast_dream5#yeast_macisaac#tc3	yeast_dream5#yeast_macisaac#tc3	2606.6833517551418	interconnected	yeast	yeast	yeast	0.0015432098765432098
611	yeast_dream5	yeast_dream5	0.04818644733914331	spectral_biclust	yeast_sisima#ap1	yeast_sisima#ap1	yeast_dream5#yeast_sisima#ap1	yeast_dream5#yeast_sisima#ap1	1654.2882571220398	interconnected	yeast	yeast	yeast	0.0015432098765432098
620	yeast_dream5	yeast_dream5	0.13672275282956062	spectral_biclust	yeast_sisima#ap2	yeast_sisima#ap2	yeast_dream5#yeast_sisima#ap2	yeast_dream5#yeast_sisima#ap2	738.1008548736572	interconnected	yeast	yeast	yeast	0.0015432098765432098
629	yeast_dream5	yeast_dream5	0.046128746032757816	spectral_biclust	yeast_sisima#ap3	yeast_sisima#ap3	yeast_dream5#yeast_sisima#ap3	yeast_dream5#yeast_sisima#ap3	1654.2882571220398	interconnected	yeast	yeast	yeast	0.0015432098765432098
638	yeast_dream5	yeast_dream5	0.07652711811179487	spectral_biclust	yeast_sisima#mcl1	yeast_sisima#mcl1	yeast_dream5#yeast_sisima#mcl1	yeast_dream5#yeast_sisima#mcl1	1654.2882571220398	interconnected	yeast	yeast	yeast	0.0015432098765432098
647	yeast_dream5	yeast_dream5	0.08587238577548557	spectral_biclust	yeast_sisima#mcl2	yeast_sisima#mcl2	yeast_dream5#yeast_sisima#mcl2	yeast_dream5#yeast_sisima#mcl2	1654.2882571220398	interconnected	yeast	yeast	yeast	0.0015432098765432098
656	yeast_dream5	yeast_dream5	0.07652711811179487	spectral_biclust	yeast_sisima#mcl3	yeast_sisima#mcl3	yeast_dream5#yeast_sisima#mcl3	yeast_dream5#yeast_sisima#mcl3	1654.2882571220398	interconnected	yeast	yeast	yeast	0.0015432098765432098
667	yeast_dream5	yeast_dream5	0.08400842336020682	spectral_biclust	yeast_sisima#minimal	yeast_sisima#minimal	yeast_dream5#yeast_sisima#minimal	yeast_dream5#yeast_sisima#minimal	1654.2882571220398	minimal	yeast	yeast	yeast	0.013888888888888888
677	yeast_dream5	yeast_dream5	0.10604868411406114	spectral_biclust	yeast_sisima#strict	yeast_sisima#strict	yeast_dream5#yeast_sisima#strict	yeast_dream5#yeast_sisima#strict	738.1008548736572	strict	yeast	yeast	yeast	0.013888888888888888
686	yeast_dream5	yeast_dream5	0.07944631661794296	spectral_biclust	yeast_sisima#tc1	yeast_sisima#tc1	yeast_dream5#yeast_sisima#tc1	yeast_dream5#yeast_sisima#tc1	1654.2882571220398	interconnected	yeast	yeast	yeast	0.0015432098765432098
695	yeast_dream5	yeast_dream5	0.07909245684416266	spectral_biclust	yeast_sisima#tc2	yeast_sisima#tc2	yeast_dream5#yeast_sisima#tc2	yeast_dream5#yeast_sisima#tc2	329.93154096603394	interconnected	yeast	yeast	yeast	0.0015432098765432098
704	yeast_dream5	yeast_dream5	0.07944631661794296	spectral_biclust	yeast_sisima#tc3	yeast_sisima#tc3	yeast_dream5#yeast_sisima#tc3	yeast_dream5#yeast_sisima#tc3	1654.2882571220398	interconnected	yeast	yeast	yeast	0.0015432098765432098
714	yeast_gpl2529	yeast_gpl2529	0.02338302315775911	spectral_biclust	yeast_macisaac#ap1	yeast_macisaac#ap1	yeast_gpl2529#yeast_macisaac#ap1	yeast_gpl2529#yeast_macisaac#ap1	1554.4161393642426	interconnected	yeast	yeast	yeast	0.0015432098765432098
723	yeast_gpl2529	yeast_gpl2529	0.07684458487476535	spectral_biclust	yeast_macisaac#ap2	yeast_macisaac#ap2	yeast_gpl2529#yeast_macisaac#ap2	yeast_gpl2529#yeast_macisaac#ap2	1771.4850180149078	interconnected	yeast	yeast	yeast	0.0015432098765432098
732	yeast_gpl2529	yeast_gpl2529	0.024037041797904047	spectral_biclust	yeast_macisaac#ap3	yeast_macisaac#ap3	yeast_gpl2529#yeast_macisaac#ap3	yeast_gpl2529#yeast_macisaac#ap3	684.9833993911742	interconnected	yeast	yeast	yeast	0.0015432098765432098
741	yeast_gpl2529	yeast_gpl2529	0.04527686253743268	spectral_biclust	yeast_macisaac#mcl1	yeast_macisaac#mcl1	yeast_gpl2529#yeast_macisaac#mcl1	yeast_gpl2529#yeast_macisaac#mcl1	1771.4850180149078	interconnected	yeast	yeast	yeast	0.0015432098765432098
750	yeast_gpl2529	yeast_gpl2529	0.0427854358353614	spectral_biclust	yeast_macisaac#mcl2	yeast_macisaac#mcl2	yeast_gpl2529#yeast_macisaac#mcl2	yeast_gpl2529#yeast_macisaac#mcl2	1554.4161393642426	interconnected	yeast	yeast	yeast	0.0015432098765432098
759	yeast_gpl2529	yeast_gpl2529	0.04527686253743268	spectral_biclust	yeast_macisaac#mcl3	yeast_macisaac#mcl3	yeast_gpl2529#yeast_macisaac#mcl3	yeast_gpl2529#yeast_macisaac#mcl3	1771.4850180149078	interconnected	yeast	yeast	yeast	0.0015432098765432098
770	yeast_gpl2529	yeast_gpl2529	0.05129756339532214	spectral_biclust	yeast_macisaac#minimal	yeast_macisaac#minimal	yeast_gpl2529#yeast_macisaac#minimal	yeast_gpl2529#yeast_macisaac#minimal	1771.4850180149078	minimal	yeast	yeast	yeast	0.013888888888888888
780	yeast_gpl2529	yeast_gpl2529	0.05721258662028194	spectral_biclust	yeast_macisaac#strict	yeast_macisaac#strict	yeast_gpl2529#yeast_macisaac#strict	yeast_gpl2529#yeast_macisaac#strict	1771.4850180149078	strict	yeast	yeast	yeast	0.013888888888888888
789	yeast_gpl2529	yeast_gpl2529	0.05038744615554766	spectral_biclust	yeast_macisaac#tc1	yeast_macisaac#tc1	yeast_gpl2529#yeast_macisaac#tc1	yeast_gpl2529#yeast_macisaac#tc1	1771.4850180149078	interconnected	yeast	yeast	yeast	0.0015432098765432098
798	yeast_gpl2529	yeast_gpl2529	0.04440233720038945	spectral_biclust	yeast_macisaac#tc2	yeast_macisaac#tc2	yeast_gpl2529#yeast_macisaac#tc2	yeast_gpl2529#yeast_macisaac#tc2	972.2763974666597	interconnected	yeast	yeast	yeast	0.0015432098765432098
807	yeast_gpl2529	yeast_gpl2529	0.05038744615554766	spectral_biclust	yeast_macisaac#tc3	yeast_macisaac#tc3	yeast_gpl2529#yeast_macisaac#tc3	yeast_gpl2529#yeast_macisaac#tc3	1771.4850180149078	interconnected	yeast	yeast	yeast	0.0015432098765432098
817	yeast_gpl2529	yeast_gpl2529	0.0525030801327969	spectral_biclust	yeast_sisima#ap1	yeast_sisima#ap1	yeast_gpl2529#yeast_sisima#ap1	yeast_gpl2529#yeast_sisima#ap1	1771.4850180149078	interconnected	yeast	yeast	yeast	0.0015432098765432098
826	yeast_gpl2529	yeast_gpl2529	0.1965731609738884	spectral_biclust	yeast_sisima#ap2	yeast_sisima#ap2	yeast_gpl2529#yeast_sisima#ap2	yeast_gpl2529#yeast_sisima#ap2	716.301828622818	interconnected	yeast	yeast	yeast	0.0015432098765432098
835	yeast_gpl2529	yeast_gpl2529	0.05215537691476042	spectral_biclust	yeast_sisima#ap3	yeast_sisima#ap3	yeast_gpl2529#yeast_sisima#ap3	yeast_gpl2529#yeast_sisima#ap3	1771.4850180149078	interconnected	yeast	yeast	yeast	0.0015432098765432098
844	yeast_gpl2529	yeast_gpl2529	0.08184549066614569	spectral_biclust	yeast_sisima#mcl1	yeast_sisima#mcl1	yeast_gpl2529#yeast_sisima#mcl1	yeast_gpl2529#yeast_sisima#mcl1	2701.7459032535558	interconnected	yeast	yeast	yeast	0.0015432098765432098
853	yeast_gpl2529	yeast_gpl2529	0.09050351481142832	spectral_biclust	yeast_sisima#mcl2	yeast_sisima#mcl2	yeast_gpl2529#yeast_sisima#mcl2	yeast_gpl2529#yeast_sisima#mcl2	973.1798379421234	interconnected	yeast	yeast	yeast	0.0015432098765432098
862	yeast_gpl2529	yeast_gpl2529	0.08184549066614569	spectral_biclust	yeast_sisima#mcl3	yeast_sisima#mcl3	yeast_gpl2529#yeast_sisima#mcl3	yeast_gpl2529#yeast_sisima#mcl3	2701.7459032535558	interconnected	yeast	yeast	yeast	0.0015432098765432098
873	yeast_gpl2529	yeast_gpl2529	0.09757140888144847	spectral_biclust	yeast_sisima#minimal	yeast_sisima#minimal	yeast_gpl2529#yeast_sisima#minimal	yeast_gpl2529#yeast_sisima#minimal	2701.7459032535558	minimal	yeast	yeast	yeast	0.013888888888888888
883	yeast_gpl2529	yeast_gpl2529	0.10501774776899693	spectral_biclust	yeast_sisima#strict	yeast_sisima#strict	yeast_gpl2529#yeast_sisima#strict	yeast_gpl2529#yeast_sisima#strict	1771.4850180149078	strict	yeast	yeast	yeast	0.013888888888888888
892	yeast_gpl2529	yeast_gpl2529	0.09251942749571722	spectral_biclust	yeast_sisima#tc1	yeast_sisima#tc1	yeast_gpl2529#yeast_sisima#tc1	yeast_gpl2529#yeast_sisima#tc1	2701.7459032535558	interconnected	yeast	yeast	yeast	0.0015432098765432098
901	yeast_gpl2529	yeast_gpl2529	0.08556218337451346	spectral_biclust	yeast_sisima#tc2	yeast_sisima#tc2	yeast_gpl2529#yeast_sisima#tc2	yeast_gpl2529#yeast_sisima#tc2	2701.7459032535558	interconnected	yeast	yeast	yeast	0.0015432098765432098
910	yeast_gpl2529	yeast_gpl2529	0.09251942749571722	spectral_biclust	yeast_sisima#tc3	yeast_sisima#tc3	yeast_gpl2529#yeast_sisima#tc3	yeast_gpl2529#yeast_sisima#tc3	2701.7459032535558	interconnected	yeast	yeast	yeast	0.0015432098765432098
